D;3052;895;3721
D;5948;5903;1867
D;5909;848;5385
D;795;1310;1765
D;1305;472;2915
D;1647;1628;120
D;4130;2971;2619
D;2030;2384;4437
D;4243;1980;5317
D;1326;1819;2948
D;1231;4236;424
D;55;3018;2782
D;5910;3311;5776
D;4611;5099;3568
D;2590;1806;3718
D;998;808;450
D;2693;3470;1870
D;5859;2360;3049
D;2477;1469;3498
D;888;2310;2842
D;1172;5322;2713
D;5233;6043;5105
D;1287;3556;4874
D;918;455;5554
D;2551;2982;4018
D;2639;4973;3604
D;5749;145;4064
D;1008;2225;918
D;2889;1318;5864
D;4714;5431;3659
D;5302;3518;4960
D;5659;2740;1976
D;5443;1886;3160
D;1809;2926;1184
D;151;2081;605
D;5645;1496;2196
D;4444;4656;1696
D;1957;3651;609
D;27;3168;5786
D;5047;4718;785
D;3763;4103;1223
D;669;979;561
D;1411;4869;2418
D;2568;1502;3403
D;3321;3593;711
D;5146;3957;4428
D;5722;4397;5118
D;1767;1813;3194
D;4690;487;243
D;6075;1423;4090
D;2087;2436;5259
D;2038;2047;4180
D;4928;1252;1116
D;2806;2729;2716
D;776;5446;4473
D;944;4820;5333
D;3343;228;2228
D;3674;2915;1104
D;3847;1019;4922
D;4429;4479;4204
D;106;1937;1398
D;3697;5255;17
D;4652;4917;1581
D;1242;5985;4492
D;2299;3970;5943
D;1338;2465;2984
D;5520;1996;336
D;5319;5632;859
D;1951;4809;4320
D;26;47;4176
D;5170;4785;3519
D;1220;3688;3168
D;6005;564;4524
D;5878;3776;2169
D;3713;4874;1258
D;1058;2087;5814
D;4228;3833;1053
D;4976;4621;5556
D;5671;2187;4572
D;2538;1298;3877
D;4224;4895;5266
D;4108;2163;3187
D;3504;4919;2786
D;1558;179;957
D;1158;1123;5604
D;1599;2067;3196
D;483;1262;4862
D;1596;878;4175
D;141;5644;4474
D;2463;5277;2879
D;606;247;3877
D;919;3543;3130
D;2721;5179;1518
D;196;955;5019
D;3949;1196;1003
D;4708;2327;6008
D;1489;2150;5542
D;5850;965;2921
D;1305;2898;3469
D;4972;5842;3844
D;3891;4283;3161
D;3873;2219;1419
D;2533;1217;3021
D;4766;3822;1622
D;2620;1495;3981
D;3576;1340;1877
D;4468;1018;3712
D;3909;1300;2994
D;936;3498;4003
