D;4250;3509;4807
D;3337;2793;1594
D;2413;1362;4072
D;353;3582;5824
D;1603;4698;5565
D;3033;5551;4150
D;2224;504;5129
D;464;3251;2114
D;2227;2296;3495
D;1555;2892;2496
D;2714;3545;5699
D;474;2459;3678
D;3365;2349;1624
D;5199;1070;2337
D;2030;4649;2123
D;4387;1986;2879
D;684;183;2638
D;4843;3586;2288
D;5076;3018;470
D;314;1638;3708
D;668;841;2475
D;3539;1845;173
D;3093;5709;3691
D;1987;1769;4509
D;4414;2504;31
D;3571;3899;4451
D;5884;4109;3435
D;5419;2623;1653
D;4286;5344;5030
D;1477;1232;4403
D;5706;771;935
D;1097;6058;4625
D;1233;5510;5868
D;3964;4957;1777
D;738;1185;5408
D;5949;4094;239
D;3441;213;5711
D;2936;2020;699
D;3359;3017;4933
D;565;1842;350
D;4688;4696;3492
D;1864;5962;3255
D;579;1177;3943
D;5855;2958;5197
D;4084;2574;67
D;4755;5501;5298
D;1942;2454;5278
D;2137;3496;3713
D;5514;1782;5067
D;5646;4879;4429
D;2107;3748;4758
D;1362;401;3002
D;553;4214;4249
D;1827;5772;1662
D;1921;1551;2076
D;4430;4805;5663
D;1359;3080;57
D;494;692;745
D;5376;1329;2297
D;2752;4548;3438
D;4923;5241;4203
D;3011;2834;3161
D;2055;4299;5118
D;1064;2927;171
D;2619;5104;2925
D;451;5021;824
D;3068;4732;4619
D;2029;3163;5499
D;4495;2401;4260
D;4533;2962;1360
D;229;636;2848
D;1424;5300;2590
D;4752;1774;4119
D;2559;4329;652
D;3443;273;912
D;3264;2557;3640
D;3642;3238;5705
D;5914;5887;3633
D;2786;1402;4238
D;5538;3396;4565
D;2132;3105;1108
D;4128;4685;3778
D;6026;33;5885
D;4705;2893;5104
D;2629;5700;6046
D;3398;6021;1354
D;3369;2486;5142
D;5269;1251;3697
D;4552;1171;2044
D;3192;5860;1020
D;1415;2589;3154
D;3979;3958;1747
D;3614;5015;3606
D;3439;2255;2547
D;5288;2738;2718
D;1443;3064;5802
D;5761;801;1085
D;1745;5058;2493
D;2845;3777;3232
D;634;5292;1351
D;5049;2994;3964
D;3869;3532;4212
D;4823;1964;4129
D;661;1294;3765
D;502;5130;1813
D;4404;5529;5350
D;4159;1382;140
D;5418;4098;739
D;2744;3769;1661
D;522;3250;4323
D;4387;5764;3663
D;176;5;5464
D;235;4543;2453
D;4855;5944;391
D;5574;3814;87
D;3516;1620;2502
D;451;4084;3250
D;3012;53;1968
D;4303;1428;1137
D;1677;3602;1040
D;271;1335;5617
D;1449;2787;2178
D;1546;5281;5717
D;3391;2282;3407
D;3796;3651;3581
D;4382;2236;2606
D;3158;143;6006
D;5954;2429;1968
D;2500;4360;2485
D;5499;3909;2652
D;1976;5587;4055
D;316;623;2908
D;4262;1956;2198
D;637;3923;1477
D;2583;4984;3777
D;5934;5693;3796
D;5504;1735;2393
D;3481;1255;77
D;5338;866;4715
D;332;3081;404
D;4919;3089;5712
D;5575;5007;6049
D;5814;4317;2709
D;5776;4255;210
D;5333;902;3390
D;691;594;1161
D;2823;3128;5126
D;2510;4841;2952
D;4565;4928;2454
D;544;3492;1394
D;4667;2700;3299
D;5903;63;4692
D;1895;2339;4786
D;2931;1175;1433
D;3763;4757;2203
D;5852;2650;1757
D;1852;5344;5271
D;498;3327;3791
D;1770;1219;243
D;1932;1860;5732
D;2562;2573;1111
D;4484;3534;1338
D;1864;5064;1315
D;1700;3927;4523
D;2735;5952;3546
D;331;2503;625
D;4454;4578;2590
D;5148;1094;1657
D;2451;582;4501
D;1056;2925;5398
D;1598;1320;5126
D;5345;404;97
D;1564;3407;6028
D;3449;1615;4510
D;2854;1165;5772
D;1105;1150;4381
D;4431;4243;908
D;4855;2428;349
D;5167;3840;3507
D;3617;325;4156
D;1739;4633;3013
D;4247;4591;4362
D;3086;3893;628
D;1291;2054;1622
D;4101;5620;6075
D;529;3791;1050
D;4443;5525;3877
D;1795;2126;2918
D;5910;3242;5223
D;2405;2579;2459
D;3754;2698;4798
D;1332;3324;5435
D;5931;3561;5894
D;1774;4061;5497
D;3236;1339;4260
D;2688;5445;1095
D;5997;3122;4176
D;1971;1211;3172
D;4720;115;4908
D;5975;5343;1253
D;73;795;4702
D;1153;2637;3861
D;2867;2441;642
D;2029;2455;806
D;2303;3530;3771
D;3934;2072;5491
D;5267;1811;4795
D;5153;4861;4765
D;3806;1018;4221
D;695;1822;5222
D;5770;3559;430
D;998;1499;3288
D;1285;2813;2703
D;3581;684;4414
D;4266;5145;4501
D;2214;3295;2236
D;4674;5016;134
D;2268;5190;3715
D;376;5269;5005
D;1837;2848;702
D;826;56;1947
D;3969;2705;2455
D;2518;211;1495
D;2401;1199;4329
D;181;4808;126
D;1370;631;3798
D;4240;2994;4196
D;1245;2211;1634
D;2979;5884;5788
D;1888;3688;2295
D;2681;1764;2601
D;627;5516;3667
