D;2816;3382
D;138;2877
D;2659;4687
D;4514;2409
D;1358;4802
D;4012;3039
D;1785;3066
D;280;2772
D;2582;4165
D;2790;3232
D;2472;230
D;1046;3458
D;2322;30
D;1047;4234
D;4714;100
D;1467;2498
D;3380;4340
D;640;2592
D;4741;1986
D;2529;4065
D;236;2488
D;2058;4213
D;739;4070
D;1350;4862
D;701;1691
D;725;3607
D;4400;962
D;2364;2914
D;4156;1463
D;1971;1518
D;779;983
D;3046;2704
D;2327;228
D;3814;4832
D;662;1831
D;29;4603
D;728;2208
D;2376;2615
D;4163;103
D;3045;552
D;3773;1948
D;1797;3931
D;4766;4120
D;1239;1922
D;1669;3810
D;3059;3180
D;717;710
D;1555;4741
D;3030;2358
D;2137;3877
D;670;3461
D;2804;1978
D;4943;1941
D;4445;3129
D;2159;1331
D;110;204
D;3886;3524
D;4148;4097
D;2476;4469
D;2178;1992
D;3307;4176
D;4772;1768
D;39;355
D;1842;3597
D;1125;2545
D;3772;4477
D;2522;435
D;4981;2736
D;2050;1903
D;351;3407
D;2201;2573
D;2464;2616
D;603;3760
D;4805;1316
D;174;4231
D;2252;238
D;2527;1525
D;3185;4832
D;2273;187
D;4564;4716
D;57;897
D;195;2938
D;4333;3421
D;2891;98
D;1840;2161
D;4136;2714
D;3781;4315
D;460;3114
D;2951;3831
D;4480;4477
D;1559;538
D;1096;258
D;4951;717
D;4339;3662
D;945;310
D;3231;4205
D;3323;1424
D;3184;3326
D;4880;3195
D;641;2002
D;4528;4440
D;4243;256
D;815;3705
D;607;2332
D;4945;497
D;2133;1784
D;4946;27
D;393;3988
D;3739;1485
D;1768;2589
D;2032;3310
D;3823;318
D;1491;1049
D;387;2717
D;1811;352
D;976;2244
D;1405;838
D;525;735
D;3845;1487
D;4468;3554
D;3928;3585
D;977;739
D;1167;1427
D;3295;998
D;1433;3469
D;3684;1985
D;315;773
D;3825;4114
D;39;4872
D;261;4960
D;1363;3360
D;4232;2538
D;4753;3894
D;336;4558
D;2651;4073
D;2905;1148
D;2390;3592
D;3460;3480
D;2240;2828
D;3655;3377
D;4656;273
D;2738;2842
D;2769;360
D;720;4539
D;4124;3822
D;1528;4287
D;3565;664
D;1556;4072
D;1994;3119
D;357;2940
D;19;3673
D;1232;3513
D;2651;3275
D;659;3097
D;3809;3655
D;2738;4624
D;3325;4123
D;4631;4339
D;4298;953
D;3244;962
D;1357;3716
D;3729;1922
D;4397;3574
D;3187;4781
D;433;3175
D;3422;2964
D;270;2195
D;4678;4958
D;1110;447
D;2155;4529
D;617;2787
D;3168;3791
D;3324;2389
D;2787;819
D;1657;3514
D;3146;1460
D;2932;3118
D;1985;1838
D;1950;4681
D;4101;3180
D;175;1881
D;3168;1263
D;2298;1680
D;1408;1577
D;4416;4786
D;3889;2111
D;3858;4215
D;2809;2075
D;474;2231
D;2745;4285
D;3941;4837
D;4465;3033
D;2270;2416
D;4830;590
D;1646;2726
D;1637;2523
D;646;2502
D;3192;4592
D;1677;3910
D;2509;3640
D;3668;96
D;1328;2105
D;247;3645
D;3469;1660
D;2713;1362
D;255;4802
D;3903;3394
D;2367;1473
D;1856;2030
D;1968;583
D;2419;1865
D;3846;1407
D;4954;1814
D;4983;155
D;3662;3624
D;2534;3086
D;2208;3563
D;1425;4342
D;3456;2243
D;2022;2877
D;2814;3869
D;629;1089
D;3307;1444
D;3547;1454
D;1211;3321
D;2535;2993
D;1417;2994
D;64;86
D;1005;1747
D;602;4459
D;4794;1671
D;4104;2354
D;1263;710
D;3100;3601
D;3504;4442
D;2448;2292
D;3831;2734
D;3882;3289
D;223;3728
D;4014;2090
D;4568;1033
D;4726;1686
D;3851;323
D;2170;3169
D;3622;3900
D;2274;2972
D;4150;160
D;858;3810
D;2159;2489
D;4444;1774
D;4635;2802
D;4904;2349
D;3229;3
D;2139;3877
D;2901;4365
D;4506;2052
D;1361;826
D;933;4990
D;4462;1429
D;4321;4495
D;4808;3840
D;1054;2122
D;1473;3507
D;3568;4402
D;2844;956
D;3622;2949
D;2425;1095
D;3538;1588
D;3856;4751
D;3325;850
D;3417;1487
D;2963;2866
D;1821;3817
D;2638;54
D;1341;1196
D;2443;1245
D;3115;956
D;3444;367
D;909;3256
D;3188;2919
D;1690;263
D;3432;1801
D;1065;3398
D;246;2517
D;4582;4820
D;3975;1517
D;1229;617
D;2097;3847
D;2229;4054
D;748;1389
D;1180;3325
D;404;926
D;4151;221
D;3074;4496
D;2665;1256
D;12;3117
D;1364;417
D;3755;2257
D;42;2148
D;2543;4617
D;3043;3626
D;983;3945
D;3338;1482
